shock,est,p25,p75,effN
-0.3,,,,1.328091145557819
-0.295,,,,1.358921994571365
-0.29,,,,1.392192472719403
-0.285,,,,1.427953972105425
-0.27999999999999997,,,,1.4662130041546015
-0.27499999999999997,,,,1.506918448858936
-0.26999999999999996,,,,1.5499496306422293
-0.26499999999999996,,,,1.5951087509172572
-0.25999999999999995,,,,1.6421242502924143
-0.25499999999999995,,,,1.6906768141438882
-0.24999999999999994,,,,1.7404683820547868
-0.24499999999999994,,,,1.7913691374374114
-0.23999999999999994,,,,1.8437025277635934
-0.23499999999999993,,,,1.8987724946632871
-0.22999999999999993,,,,1.9598176616623364
-0.22499999999999992,76.29373641387832,75.4045643153527,77.26348547717842,2.033731250609798
-0.21999999999999992,77.05519723786996,76.12966804979253,77.93464730290457,2.1341938866104244
-0.2149999999999999,77.698255763633,76.58091286307054,78.53423236514523,2.287496164013337
-0.2099999999999999,78.10245322287041,76.88070539419087,79.22199170124482,2.5435064532693987
-0.2049999999999999,78.08763182682202,76.7551867219917,79.63174273858921,2.9953502799224765
-0.1999999999999999,77.44839319031553,75.99377593360997,79.41286307053942,3.80425450805915
-0.1949999999999999,76.07170767347563,74.3195020746888,77.99273858921161,5.16786543110826
-0.1899999999999999,74.09356449491756,72.16390041493776,76.17738589211619,7.019972004476969
-0.1849999999999999,71.91770487766935,69.72510373443983,73.31120331950208,8.647671344915524
-0.17999999999999988,70.01226136707666,67.90352697095435,72.38070539419087,9.54942458192011
-0.17499999999999988,68.68833582815829,65.60580912863071,71.13589211618257,10.1895918166005
-0.16999999999999987,68.05204603962518,65.25622406639005,71.27385892116183,11.124810622357172
-0.16499999999999987,68.07074734424906,64.66804979253112,70.47821576763485,12.60110476126695
-0.15999999999999986,68.63042009756298,64.01452282157676,72.25311203319501,14.66328989842036
-0.15499999999999986,69.55093427097225,64.79564315352697,73.3734439834025,17.1866663574131
-0.14999999999999986,70.58612006519333,65.69190871369294,75.85165975103735,19.86232568446374
-0.14499999999999985,71.43952953917028,66.23547717842324,75.22199170124482,22.321462912486147
-0.13999999999999985,71.80712030310164,66.12136929460581,75.9896265560166,24.391615951841832
-0.13499999999999984,71.43812394149178,66.54771784232366,77.54979253112033,26.20434008934238
-0.12999999999999984,70.1972006662565,65.18775933609959,76.65041493775934,28.04044934844336
-0.12499999999999983,68.11336651116311,62.42634854771784,72.76141078838174,30.120674194826936
-0.11999999999999983,65.40283620663288,60.204356846473026,70.22510373443984,32.49274669961281
-0.11499999999999982,62.44854854409695,55.8454356846473,67.16597510373444,35.009764707284624
-0.10999999999999982,59.71932558744444,52.62344398340249,64.91286307053942,37.39887243892168
-0.10499999999999982,57.6321490371938,52.12448132780083,65.01348547717842,39.439218584802695
-0.09999999999999981,56.39935325695715,49.219917012448136,62.84647302904564,41.15909621139804
-0.0949999999999998,55.929344188847296,48.4948132780083,62.33195020746888,42.867315035203596
-0.0899999999999998,55.83613324601206,46.46784232365145,62.84647302904564,44.97496330074194
-0.0849999999999998,55.56500342278958,48.03423236514523,62.03941908713693,47.75190088506439
-0.0799999999999998,54.58950361419443,45.85373443983403,61.97199170124481,51.15040148033662
-0.07499999999999979,52.60142045238022,42.64730290456431,56.87344398340249,54.78162913175299
-0.06999999999999978,49.61230030630228,42.754149377593365,55.495850622406635,58.13841943111834
-0.06499999999999978,45.92382342741078,39.72095435684648,51.46369294605809,60.96764119973557
-0.059999999999999776,41.99410575971896,36.61929460580913,47.37966804979253,63.41517743883207
-0.05499999999999977,38.27910232774327,33.51141078838174,43.30082987551867,65.78654006284548
-0.04999999999999977,35.121719707474284,30.604771784232366,39.018672199170126,68.23158745792084
-0.04499999999999976,32.71223732509288,28.801867219917014,36.1753112033195,70.65456573564587
