date,liq_cnt,ret,price
2025-01-09,5,-0.0324858969311362,3219.2
2025-01-10,4,0.0148608349900596,3267.04
2025-01-11,6,0.004833121112689,3282.83
2025-01-12,9,-0.0047306744485702,3267.3
2025-01-13,59,-0.0397239310745876,3137.51
2025-01-14,23,0.0280859662598684,3225.63
2025-01-15,5,0.0700297306262651,3451.52
2025-01-16,6,-0.0415671935842758,3308.05
2025-01-18,1,-0.047765593917602,3307.71
2025-01-19,2,-0.0279921758558036,3215.12
2025-01-20,1,0.0214237726741148,3284.0
2025-01-21,4,0.0132582216808769,3327.54
2025-01-22,4,-0.0255263648220607,3242.6
2025-01-23,3,0.0294855979769321,3338.21
2025-01-25,2,0.0026222851946622,3318.77
2025-01-26,6,-0.025961425467869,3232.61
2025-01-27,19,-0.0155199668379421,3182.44
2025-01-28,3,-0.0329055693115974,3077.72
2025-01-29,5,0.0117554553370677,3113.9
2025-01-30,9,0.0428690709399788,3247.39
2025-01-31,2,0.0165055629289982,3300.99
2025-02-02,36,-0.0795049943224466,2869.68
2025-02-03,138,0.0035613726966072,2879.9
2025-02-04,48,-0.0516372096253342,2731.19
2025-02-05,47,0.0208919921352963,2788.25
2025-02-06,10,-0.0364422128575271,2686.64
2025-02-07,36,-0.0240225709436321,2622.1
2025-02-08,11,0.0039510316158803,2632.46
2025-02-09,15,-0.0020057284821042,2627.18
2025-02-10,8,0.0129454395968302,2661.19
2025-02-11,1,-0.022020224035112,2602.59
2025-02-12,13,0.0521326832117237,2738.27
2025-02-13,4,-0.0227881107414535,2675.87
2025-02-14,2,0.0187154084465985,2725.95
2025-02-15,15,-0.0120728553348373,2693.04
2025-02-16,9,-0.0117450910495202,2661.41
2025-02-17,4,0.0310512096971156,2744.05
2025-02-19,8,0.0162837435768847,2715.5
2025-02-20,3,0.0083004971460136,2738.04
2025-02-21,3,-0.0274064659391389,2663.0
2025-02-22,8,0.0376342470897483,2763.22
2025-02-23,10,0.0204363025745326,2819.69
2025-02-24,27,-0.1085828583993275,2513.52
2025-02-25,97,-0.0070896591234603,2495.7
2025-02-26,81,-0.0638418079096044,2336.37
2025-02-27,63,-0.012262612514285,2307.72
2025-02-28,158,-0.0303893019950425,2237.59
2025-03-01,61,-0.0090275698407662,2217.39
2025-03-02,14,0.1356189033052373,2518.11
2025-03-03,17,-0.1465781876089606,2149.01
2025-03-04,101,0.0104699373199752,2171.51
2025-03-05,6,0.0322724739927515,2241.59
2025-03-06,16,-0.0175723481992694,2202.2
2025-03-07,197,-0.0275179366088456,2141.6
2025-03-08,198,0.0289409787075083,2203.58
2025-03-09,98,-0.0831238257744215,2020.41
2025-03-10,256,-0.0768705361783005,1865.1
2025-03-11,151,0.0312744624953087,1923.43
2025-03-12,62,-0.0079181462283525,1908.2
2025-03-13,35,-0.0228539985326486,1864.59
2025-03-14,36,0.0252387924423065,1911.65
2025-03-15,15,0.0133497240603666,1937.17
2025-03-16,5,-0.0258986046655689,1887.0
2025-03-17,16,0.0208320084790671,1926.31
2025-03-18,9,0.002715035482347,1931.54
2025-03-19,9,0.0644666949687813,2056.06
2025-03-20,19,-0.0351497524391311,1983.79
2025-03-21,97,-0.0090937044747679,1965.75
2025-03-22,4,0.0076001526135063,1980.69
2025-03-23,29,0.0127733264670393,2005.99
2025-03-24,9,0.0374927093355399,2081.2
2025-03-25,10,-0.0072314049586775,2066.15
2025-03-26,8,-0.0274084650194806,2009.52
2025-03-27,14,-0.0029161192722639,2003.66
2025-03-28,5,-0.0532824930377409,1896.9
2025-03-29,39,-0.0362802467183299,1828.08
2025-03-30,50,-0.0111264277274517,1807.74
2025-03-31,15,0.0081261685861904,1822.43
2025-04-01,4,0.0452966643437606,1904.98
2025-04-02,6,-0.0576174028073785,1795.22
2025-04-03,61,0.0122603357805728,1817.23
2025-04-04,202,-0.0001981037072907,1816.87
2025-04-05,227,-0.0059773126310632,1806.01
2025-04-06,505,-0.1247224544714591,1580.76
2025-04-09,1,0.133092621877142,1669.51
2025-04-10,123,-0.0882055213805248,1522.25
2025-04-11,16,0.0292987354245359,1566.85
2025-04-12,36,0.0493537990235186,1644.18
2025-04-13,20,-0.0282329185368999,1597.76
2025-04-14,234,0.0162790406569197,1623.77
2025-04-15,301,-0.0215486183388041,1588.78
2025-04-16,167,-0.0073263762131949,1577.14
2025-04-17,79,0.0041087030954765,1583.62
2025-04-18,54,0.0031446938028061,1588.6
2025-04-19,123,0.0155293969532923,1613.27
2025-04-20,39,-0.0160605478314231,1587.36
2025-04-21,22,-0.0049075194032859,1579.57
2025-04-22,6,0.1118595567148021,1756.26
2025-04-23,1,0.0220980948151183,1795.07
2025-04-24,2,-0.0141610076487267,1769.65
2025-04-25,1,0.0084479981917326,1784.6
2025-04-26,8,0.0203294855990139,1820.88
2025-04-27,9,-0.0162503844295066,1791.29
2025-04-28,5,0.0047954267594862,1799.88
2025-04-29,60,-0.0011500766717782,1797.81
2025-04-30,87,-0.0023361756804112,1793.61
2025-05-01,34,0.0248102987829015,1838.11
2025-05-02,31,0.0022251116636111,1842.2
2025-05-03,31,-0.0047117576810336,1833.52
2025-05-04,350,-0.0134495396832322,1808.86
2025-05-05,93,0.0062636135466538,1820.19
2025-05-06,11,-0.0017525642927387,1817.0
2025-05-07,19,-0.0032416070445789,1811.11
2025-05-08,6,0.2188050422116823,2207.39
2025-05-09,4,0.0623587132314633,2345.04
2025-05-10,2,0.1015718281990925,2583.23
2025-05-11,3,-0.0265791276812362,2514.57
2025-05-12,8,-0.0075957320734759,2495.47
2025-05-13,1,0.0738297795605638,2679.71
2025-05-14,16,-0.0261110344029765,2609.74
2025-05-15,5,-0.0233931349483089,2548.69
2025-05-17,16,-0.0244529229993062,2475.08
2025-05-18,32,0.0091714207217545,2497.78
2025-05-19,5,0.0121547934565893,2528.14
2025-05-21,4,0.010617267321398,2550.99
2025-05-22,2,0.0446218918929515,2664.82
2025-05-23,2,-0.0519059448668203,2526.5
2025-05-25,3,0.0082279481504898,2551.22
2025-05-26,3,0.0048917772673466,2563.7
2025-05-27,1,0.0378788469789757,2660.81
2025-05-28,1,0.0078134102021565,2681.6
