shock,est,p25,p75,effN
-0.3,,,,0
-0.29,,,,0
-0.27999999999999997,,,,0
-0.26999999999999996,,,,0
-0.25999999999999995,,,,0
-0.24999999999999994,,,,0
-0.23999999999999994,,,,0
-0.22999999999999993,,,,0
-0.21999999999999992,,,,1
-0.2099999999999999,,,,1
-0.1999999999999999,,,,1
-0.1899999999999999,,,,1
-0.17999999999999988,,,,1
-0.16999999999999987,,,,1
-0.15999999999999986,,,,1
-0.14999999999999986,,,,2
-0.13999999999999985,,,,3
-0.12999999999999984,,,,4
-0.11999999999999983,,,,3
-0.10999999999999982,,,,5
-0.09999999999999981,83.63522654377238,62.845353926195976,67.81315828047693,9
-0.0899999999999998,,,,7
-0.0799999999999998,76.39362723260386,82.00569675313807,90.11514144826587,11
-0.06999999999999978,52.4924533162371,59.39142122509488,68.78247511369881,18
-0.059999999999999776,27.685372477394484,21.562134684253053,24.977270011860913,27
-0.04999999999999977,22.14442658232088,17.183790756119215,19.29052090055,48
